username,tweetcreatedts,text
bung_dehan,2022-07-30 23:56:43,"Lembaga yang cerdas itu, memblokir dan memberikan Solusi, PayPal Kalian Blokir ,  Solusi setelah di Blokirnya Paypal... dari Kominfo apa untuk rakyat Indonesia...?? 🤣🤣🤣 ... Hayo Ada tidak.. Kasih Ganti rugi apa kira kira setelah memutus jalur penghasilan rakyat. #BlokirKominfo"
Nel0ngso,2022-07-30 23:56:36,"RT @LBH_Jakarta: Pos Pengaduan #SaveDigitalFreedom LBH Jakarta di Jalan Diponegoro No 74 Menteng, Jakarta Pusat. Atau email ke pengaduan@ba…"
yaelahdre,2022-07-30 23:56:23,"RT @Avendi_Prasetyo: Steam, PayPal, Battlenet, Epic Games dan lainya diblokir di Indonesia 
Johnny G. Plate harus mundur

#BlokirKominfo /…"
IqbalPratamaAH,2022-07-30 23:56:16,RT @paraNEWnormal: Udah 24 jam blm bsa dibuka #BlokirKominfo https://t.co/Riu58HDgH4
mochixx08,2022-07-30 23:56:13,RT @Fiar098: Layanan internet harusnya gaboleh dipegang sama kominfo lagi selama yang masih duduk disana para boomer tolol asal blok gajela…
vladilenamir,2022-07-30 23:56:12,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
Zamphh1,2022-07-30 23:56:04,"@arielangga_ Masalahnya nanti, kek mana mereka (anak bangsa) yang mau mempublis game tersebut kalo layanan apk kayak Steam, Epic games, Origin di Blokir? Terus mereka kan pasti kirim kirim data, ini Gifthub katanya juga diblok. Aneh #BlokirKominfo"
pepo_infp,2022-07-30 23:56:02,"@tilehopper Saya freelancer, Paypal adl salah satu metode pembayaran yg saya pakai. Kerja saya menggunakan slack, Upwork, dsb, serta harus buka berbagai web yg mewajibkan VPN dsb,.. selain beresiko menjadi tdk mungkin lg (kalau blokir brtambah), mencairkan dana jg susah skali. #BlokirKominfo"
vnovianti2,2022-07-30 23:56:02,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
meliancious,2022-07-30 23:56:02,"RT @NdrewsTjan: Masalah Steam dan @kemkominfo ini itu sengaja dibuat rame krna masalah ini kali ya. 

Mau menutupi Hasil Autopsi Brigadir J…"
ekprasetiyo,2022-07-30 23:55:59,"RT @Azirah172: #BlokirKominfo
#kominfo
#KominfoKontol
Update terbaru https://t.co/72wjpxPfW2"
dheotegar,2022-07-30 23:55:59,"RT @alter_ozone: Diam bengong, sekali gerak bikin rusuh. #BlokirKominfo https://t.co/DqUIvdFs7u"
chelthemochi,2022-07-30 23:55:59,"ini jgn dianalogikan 'lepas sepatu utk bertamu' deh, ini ibarat 'memblokir akses nelayan utk pergi melaut dan memancing'
Besarny perbedaan 'pengguna' dan 'penonton' sgt berbobot diperkataan
#BlokirKominfo #SaveDigitalFreedom https://t.co/NFyRxGxD3R"
